cell_id,B2_mean,B2_std,B3_mean,B3_std,B4_mean,B4_std,B8_mean,B8_std,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,EVI_mean,EVI_std,GNDVI_mean,GNDVI_std,comp_built_up,comp_water,comp_vegetation,comp_other
C0000000,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000001,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000002,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000003,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000004,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000005,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000006,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000007,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000008,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000009,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000010,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000011,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000012,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000013,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000014,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000015,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000016,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000017,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000018,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000019,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000020,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000021,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000022,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000023,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000024,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000025,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000026,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000027,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000028,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000029,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000030,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000031,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000032,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000033,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000034,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000035,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000036,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000037,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000038,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000039,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000040,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000041,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000042,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000043,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000044,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000045,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000046,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000047,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000048,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000049,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000050,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000051,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000052,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000053,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000054,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000055,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000056,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000057,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000058,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000059,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000060,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000061,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000062,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000063,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000064,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000065,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000066,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000067,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000068,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000069,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000070,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000071,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000072,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000073,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000074,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000075,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000076,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000077,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
